Author Name,Total Publication,Total Citation,Total Years,Cite/Year,Cite/Paper,h index,g index,h(2) index,w index,h core citation,m index,f index,t index,tappered_h_index,Maxprod,wu index,pi index,weighted h index,woginger_index,Gh_index,Rm index,X index,h2upper_index,h2 center_index,h2 lower_index,k dash index,i10 index,normalized_h_index,platinium_h_index,m_qoutient_index,HI_index,AW_index,Ar index,V index,hm_index,hf index,gf index,gF index,hi index,h_m_index,k norm index,w norm index,gm index,A index,R index,P index,q2 index,e index,hg_index,pure h index,fractional g index,fractional h index,AWCR,Author/paper,cites/author,paper/author,k index,h dash index,hl norm,hc index,ha index,hi index s,Rational h index,Real h index,Class
FJ CIRRE,1,2,0,2,2,1,1,1,0,2,2,1,1,2,2,1,0.02,1.414213562,1,1,1.189207115,1,50,50,0,0,0,1,2,1,1,1.414213562,1.414213562,0.016949153,1,1,1,1,1,1,1.5,1.5,1,2,1.414213562,2,1.414213562,1,1,1,1,1,0.033898305,1,2,1,1,1,1,0,0,1,1.333333333,-3,0
T DISTRIBUTIFS,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,2,0,0.5,0,0,0,0,0,0,1,1,0
B Davvaz,1,2,0,2,2,1,1,1,0,2,2,1,1,2,2,1,0.02,1.414213562,1,1,1.189207115,1,50,50,0,0,0,1,2,1,1,1.414213562,1.414213562,0.03030303,1,1,1,1,1,1,1.5,1.5,1,2,1.414213562,2,1.414213562,1,1,1,1,1,0.060606061,1,2,1,1,1,1,0,0,1,1.333333333,-3,0
V Rokhiin,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,2,0,0.5,0,0,0,0,0,0,1,1,0
S Sedwards,1,2,0,2,2,1,1,1,0,2,2,1,1,2,2,1,0.02,1.414213562,1,1,1.189207115,1,50,50,0,0,0,1,2,1,0.2,1.414213562,1.414213562,0.05,0.2,1,1,1,0.2,0.2,1.5,1.5,1,2,1.414213562,2,1.414213562,1,1,0.447213595,1,0,0.1,5,0.4,0.2,1,1,0,0,0,0.2,1.333333333,-3,0
K Aarikka,1,3,0,3,3,1,1,1,0,3,3,1,1,2,3,1,0.03,1.732050808,1,1,1.316074013,1,66.66666667,33.33333333,0,0,0,1,3,1,0.5,1.732050808,1.732050808,0.027027027,0.5,1,1,1,0.5,0.5,1.666666667,1.666666667,1,3,1.732050808,3,1.732050808,2,1,0.707106781,1,1,0.081081081,2,1.5,0.5,1,2,1,0,0,0.5,1,-2,0
W Obserschelp,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,4,0,0.25,0,0,0,0,0,0,1,1,0
M vanFrankenhuysen,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,2,0,0.5,0,0,0,0,0,0,1,1,0
R.O.  Jozsa,1,2,0,2,2,1,1,1,0,2,2,1,1,2,2,1,0.02,1.414213562,1,1,1.189207115,1,50,50,0,0,0,1,2,1,0.333333333,1.414213562,1.414213562,0.020408163,0.333333333,1,1,1,0.333333333,0.333333333,1.5,1.5,1,2,1.414213562,2,1.414213562,1,1,0.577350269,1,0,0.040816327,3,0.666666667,0.333333333,1,1,0,0,0,0.333333333,1.333333333,-3,1
U.L.  Tillmann,1,4,0,4,4,1,1,1,0,4,4,1,1,2,4,1,0.04,2,1,1,1.414213562,1,75,25,0,0,0,1,4,1,0.333333333,2,2,0.052631579,0.333333333,1,1,1,0.333333333,0.333333333,1.75,1.75,1,4,2,4,2,3,1,0.577350269,1,1,0.210526316,3,1.333333333,0.333333333,1,3,1,0,0,0.333333333,0.666666667,-1.666666667,1
Y AbuMuhanna,2,5,9,0.555555556,1.666666667,2,2,1,0,3,3,2,2,2.666666667,4,2,0.03,1.732050808,2,2,1.773771228,1.414213562,20,80,0,0,0,1,0.555555556,0.222222222,0.8,2.236067977,2.236067977,0.1,0.833333333,2,2,2,0.8,0.833333333,1.666666667,1.8,2,1.5,1.732050808,2.5,2.449489743,-1,2,1.264911064,1,1,0.372727273,2.5,2,0.833333333,0.5,-1,1,1,0,0.8,2.6,-3,0
MRC PREDRAG,2,0,17,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0.833333333,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0,2.5,0,0.833333333,0,0,0,0,0,0,1,1,0
T KATRINYAK,2,2,4,0.5,0.666666667,1,1,1,0,2,2,2,1,2,2,1,0.02,1.414213562,1,1,1.189207115,1,50,50,0,0,0,0.5,0.25,0.25,0.285714286,1.414213562,1.414213562,0.026315789,0.333333333,1,2,2,0.333333333,0.333333333,1,1,2,2,1.414213562,1,1.414213562,1,1,0.577350269,0,0,0.052631579,3.5,0.666666667,0.583333333,0.5,1,0,0,0,0.333333333,2.666666667,1,0
OF EPIMORPHISMS,2,0,23,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0
XRN Colloquium,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0.833333333,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0,2.5,0,0.833333333,0,0,0,0,0,0,1,1,0
I.B.  Leader,2,1,9,0.111111111,0.333333333,1,1,1,0,0,0,2,1,1,1,1,0.01,1,0,1,1,1,0,100,0,0,0,0.5,0.055555556,0.111111111,0.333333333,1,1,0.029411765,0.2,1,1,2,0.2,0.2,-1,-1,0.2,0,0,0.5,0,-1,1,0.447213595,0,0,0.04,3,0.2,1.2,0.5,-1,0,0,0,0.2,2.333333333,1,1
Leslie F Greengard,2,14,1,14,4.666666667,2,2,2,0,14,7,2,2,3,10,2,0.09,3,2,2,2.288245611,1.414213562,71.42857143,28.57142857,0,0,0,1,14,2,2,3.741657387,3.741657387,0.055555556,2,2,2,2,2,2,2.714285714,2.714285714,2,7,3.741657387,7,3.741657387,10,2,2,2,2,0.396031746,1,14,2,0.5,10,2,1,0,2,2,-1.5,1
Nikolai E.  Mnev,2,15,1,15,5,2,2,2,0,15,7.5,2,2,3,12,2,0.09,3,2,2,2.334414218,1.414213562,73.33333333,26.66666667,0,0,0,1,15,2,2,3.872983346,3.872983346,0.052631579,2,2,2,2,2,2,2.733333333,2.733333333,2,7.5,3.872983346,7.5,3.872983346,11,2,2,2,2,0.399004267,1,15,2,0.5,11,2,0,0,2,1.8,-1.4,1
P.M.  Topping,2,64,194,0.329896907,21.33333333,2,2,1,1,62,62,2,2,2.666666667,62,2,0.62,7.874007874,2,2,3.047658353,1,93.75,6.25,0,0,1,1,0.329896907,0.010309278,1.333333333,8,8,0.009090909,1.5,2,2,2,1.333333333,1.5,1.983870968,1.984375,2,31,7.874007874,32,11.13552873,58,2,1.632993162,2,1,2.393706294,1.5,63,1.5,0.5,58,1,1,1,1.333333333,2.6,-3,1
SD Eriksson-Bique,3,52,5,10.4,8.666666667,2,3,1,1,50,50,3,3,2.666666667,50,2,0.5,7.071067812,2,2,2.91295063,1,92.30769231,7.692307692,0,0,1,0.666666667,6.933333333,0.4,0.857142857,7.211102551,7.211102551,0.181818182,1.2,3,3,3,0.666666667,1.2,2.923076923,2.923076923,3,25,7.071067812,17.33333333,10,46,2.449489743,1.154700538,3,2,4.878787879,2.333333333,12,2.2,0.333333333,30.66666667,2,1,1,0.666666667,3.4,1,0
VY Plisko,3,4,12,0.333333333,0.666666667,2,2,1,0,2,2,3,2,2.666666667,4,2,0.02,2,1,2,1.681792831,1.414213562,0,100,0,0,0,0.666666667,0.222222222,0.166666667,1,2,1.414213562,0.05,1,2,2,3,1,1,1.5,1.75,3,1,1.414213562,1.333333333,2,-2,2,1.414213562,1,1,0.142857143,2,2,1.5,0.333333333,-2,1,0,0,1,3.4,1,0
M Teixido-Roman,3,13,1,13,2.166666667,1,3,1,1,13,13,3,2,2,13,1,0.13,3.605551275,1,1,1.898828922,1,92.30769231,7.692307692,-7.692307692,0,1,0.333333333,4.333333333,1,0.75,3.605551275,3.605551275,0.083333333,1,2,3,3,1,1,1.923076923,1.923076923,3,13,3.605551275,4.333333333,3.605551275,12,1.732050808,1,3,1,1.083333333,1.333333333,13,2.5,0.333333333,6,1,1,1,1,6.333333333,1,0
KS Kedlaya,3,4,180,0.022222222,0.666666667,2,2,1,0,2,2,3,2,2.666666667,4,2,0.02,2,1,2,1.681792831,1.414213562,0,100,0,0,0,0.666666667,0.014814815,0.011111111,1,2,2,0.009433962,1.333333333,2,2,3,1,1.333333333,1.5,1.75,3,1,1.414213562,1.333333333,2,-2,2,1.414213562,0,2,0.071933962,2,2.666666667,1.833333333,0.333333333,-2,1,0,0,1,3.4,1,0
SV Ifraimov,3,3,2,1.5,0.5,1,1,1,0,2,2,1,1,2.333333333,2,2,0.02,1.414213562,0,2,1.189207115,1,33.33333333,33.33333333,-33.33333333,0,0,0.333333333,0.5,0.5,0.5,1.732050808,1.414213562,0.083333333,1,2,2,3,0.5,1,1.5,1.666666667,3,2,1.414213562,1,1.414213562,1,1,0.707106781,1,1,0.3,2,1.5,1.5,2,1,1,0,0,0.5,2.333333333,1.5,0
MTAD Nogueira,3,0,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,2.5,0,0,2.5,0,0,0,0,0,0,0,0,0,0,1.333333333,0,2.5,0,0,0,0,0,0,1,1,0
M Rodenhausen,3,1,14,0.071428571,0.166666667,1,1,1,0,0,0,3,1,1,1,1,0.01,1,0,1,1,1,0,100,-100,0,0,0.333333333,0.023809524,0.071428571,0.75,1,1,0.037037037,0.5,1,1,3,0.5,0.5,-5,-5,0.5,0,0,0.333333333,0,-1,1,0.707106781,0,0,0.076923077,1.333333333,0.5,2.5,0.333333333,-1,0,0,0,0.5,2.333333333,1,0
O Khairulnizam,3,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1.666666667,0,2,0,0,0,0,0,0,1,1,0
NS Berisha,3,3,2,1.5,0.5,1,1,1,0,2,2,1,1,2.333333333,2,2,0.02,1.414213562,0,2,1.189207115,1,33.33333333,33.33333333,-33.33333333,0,0,0.333333333,0.5,0.5,0.428571429,1.732050808,1.414213562,0.090909091,1,2,2,3,0.5,1,1.5,1.666666667,3,2,1.414213562,1,1.414213562,1,1,0.707106781,1,1,0.292929293,2.333333333,1.5,1.333333333,2,1,1,0,0,0.5,2.333333333,1.5,0
G Teschl,3,7,84,0.083333333,1.166666667,2,2,1,0,3,3,2,2,3.066666667,6,3,0.03,1.732050808,3,3,1.773771228,1.732050808,14.28571429,57.14285714,0,0,0,0.666666667,0.055555556,0.023809524,0.666666667,2.645751311,2.236067977,0.017241379,1.533333333,2,3,3,0.5,1.533333333,1.666666667,1.857142857,3,1.5,1.732050808,2.333333333,2.449489743,-1,2,1,0,0,0.17065047,3,3.266666667,1.533333333,5.833333333,-1,1,0,0,0.5,3,3,0
Ivo M. Babu?ka,3,661,15,44.06666667,110.1666667,3,3,2,2,661,95,3,3,3.8,560,3,5.6,23.66431913,3,3,5.988372335,1,98.63842663,1.361573374,0,0,2,1,44.06666667,0.2,1,25.70992026,25.70992026,0.1,1.083333333,3,3,3,1,1.083333333,2.99389313,2.993948563,3,220.3333333,25.70992026,220.3333333,16.88194302,652,3,1.732050808,3,2,29.02121212,3,235.6666667,1.083333333,0.333333333,652,2,2,2,1,3.142857143,-1.4,1
YR Pestova,4,1,1,1,0.1,1,1,1,0,0,0,4,1,1,1,1,0.01,1,0,1,1,1,0,100,-200,0,0,0.25,0.25,1,0.666666667,1,1,0.111111111,1,2,1,4,1,1,1,1,1,0,0,0.25,0,-1,1,1,1,1,0.125,1.5,1,3,0.25,-1,1,0,0,1,2.333333333,1,0
N Kukunuru,4,79,8,9.875,7.9,2,4,2,1,77,38.5,4,4,3.4,72,3,0.77,8.485281374,3,3,3.274347164,1,92.40506329,5.063291139,-2.53164557,0,1,0.5,4.9375,0.25,0.8,8.888194417,8.774964387,0.117647059,1,2,4,4,0.666666667,1,1.986111111,1.987341772,4,38.5,8.774964387,19.75,8.774964387,73,2.828427125,1.154700538,4,1,6.247863248,2.5,26.33333333,2,760.375,36.5,1,2,1,0.666666667,3.6,1.5,0
SS Sharma,4,6,8,0.75,0.6,2,2,1,0,3,3,2,2,2.866666667,4,3,0.05,1.732050808,0,2,1.773771228,1.414213562,16.66666667,66.66666667,-33.33333333,0,0,0.5,0.375,0.25,1.333333333,2.449489743,2.236067977,0.117647059,1.5,2,3,4,1.333333333,1.5,1.666666667,1.833333333,4,1.5,1.732050808,1.5,2.449489743,-1,2,1.632993162,1,2,0.381827731,1.5,4.5,3,7.5,-1,1,0,0,1.333333333,3.2,1.5,0
SV Allenov,4,6,8,0.75,0.6,2,2,1,0,3,3,2,2,2.866666667,4,3,0.05,1.732050808,0,2,1.773771228,1.414213562,16.66666667,66.66666667,-33.33333333,0,0,0.5,0.375,0.25,1.333333333,2.449489743,2.236067977,0.117647059,1.5,2,3,4,1.333333333,1.5,1.666666667,1.833333333,4,1.5,1.732050808,1.5,2.449489743,-1,2,1.632993162,1,2,0.381827731,1.5,4.5,3,7.5,-1,1,0,0,1.333333333,3.2,1.5,0
O Iyama,4,10,183,0.054644809,1,2,2,1,0,6,3,2,2,3.685714286,8,4,0.06,2.449489743,3,4,1.861209718,2,20,40,0,-1.5,0,0.5,0.027322404,0.010928962,0.8,3.16227766,2.449489743,0.009174312,1.666666667,2,3,4,0.8,1.666666667,1.666666667,1.9,4,3,2.449489743,2.5,2.449489743,2,2,1.264911064,1,1,0.112226639,2.5,4.166666667,1.666666667,3.75,2,1,0,0,0.8,3.2,2,0
S Kalucha,4,0,19,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,2.833333333,0,0,2.833333333,0,0,0,0,0,0,0,0,0,0,1.75,0,2.833333333,0,0,0,0,0,0,1,1,0
K Maleknejad,4,33,9,3.666666667,3.3,3,4,2,1,33,6,4,4,3.8,23,3,0.29,4.795831523,3,3,3.040611989,1,72.72727273,27.27272727,0,0,1,0.75,2.75,0.333333333,1.090909091,5.744562647,4.415880433,0.071428571,1.45,3,4,4,0.9,1.45,2.862068966,2.878787879,4,11,5.744562647,8.25,4.242640687,24,3.464101615,1.643167673,3,2,0.856818182,2.75,12.55,2.45,0.25,18,2,1,0,0.9,4.571428571,1,0
Andrew J Casson,4,161,47,3.425531915,16.1,4,4,3,3,157,57,4,4,4.371428571,114,4,1.22,11.04536102,4,4,4.850584704,1.414213562,90.0621118,9.937888199,0,0,3,1,3.425531915,0.085106383,0.727272727,12.68857754,11.24722188,0.05,1.4,3,4,4,0.727272727,1.4,2.967213115,2.97515528,4,39.25,12.52996409,40.25,15.09966887,141,4,1.705605731,4,2,4.111742424,5.5,64.66666667,1.4,0.25,141,2,2,1,0.727272727,4.555555556,-1.666666667,1
Karen Keskulla Uhlenbeck,4,119,15,7.933333333,11.9,3,4,3,2,119,21,4,4,3.8,80,3,1.01,8.94427191,3,3,4.215387087,1,92.43697479,7.56302521,0,0,3,0.75,5.95,0.2,3,10.90871211,10.90871211,0.054545455,3,4,4,4,3,3,3.924369748,3.924369748,4,39.66666667,10.90871211,29.75,7.937253933,110,3.464101615,3,4,3,2.65,1,119,4,0.25,82.5,3,1,1,3,6.571428571,1,1
Samuel P. Ferguson,4,110,8,13.75,11,3,4,3,2,108,21,4,4,4.085714286,72,4,0.93,8.485281374,4,3,4.11592522,1,90,8.181818182,0,0,3,0.75,10.3125,0.375,1.714285714,10.48808848,8.031189202,0.12,2,4,4,4,1.8,2,3.916666667,3.918181818,4,36,10.39230485,27.5,7.937253933,99,3.464101615,2.323790008,4,3,6.075294118,1.75,62.5,2.5,1485,74.25,3,3,1,1.8,5.857142857,1.142857143,1
MR Paiz,5,2,23,0.086956522,0.133333333,1,1,1,0,2,2,5,1,2,2,1,0.02,1.414213562,0,1,1.189207115,1,50,50,-150,0,0,0.2,0.017391304,0.043478261,0.625,1.414213562,1.414213562,0.029411765,1,2,2,5,1,1,1.5,1.5,2,2,1.414213562,0.4,1.414213562,1,1,1,1,1,0.068965517,1.6,2,3.833333333,0.2,1,1,0,0,1,2.666666667,1,0
V NguyenKhac,5,12,4,3,0.8,2,3,1,0,10,5,5,3,3.4,7,3,0.1,2.645751311,1,3,2.092319794,1,50,33.33333333,-33.33333333,0,0,0.4,1.2,0.5,1.25,3.464101615,3.16227766,0.08,1.5,2,4,5,1,1.5,1.857142857,1.916666667,5,5,3.16227766,2.4,3.16227766,6,2.449489743,1.414213562,2,1,0.556277056,1.6,6,3.5,12,4,1,1,0,1,3.2,2,0
S Kimport,5,46,91,0.505494505,3.066666667,4,5,2,1,46,9.5,5,5,4.514285714,24,4,0.33,5.744562647,4,4,3.625178391,1.414213562,65.2173913,34.7826087,0,0,2,0.8,0.404395604,0.043956044,1.538461538,6.782329983,5.656854249,0.04040404,1.95,4,5,5,1.333333333,1.95,3.775,3.804347826,5,11.5,6.782329983,9.2,6.164414003,30,4.472135955,2.309401077,4,3,5.433333333,2.6,17.2,2.95,0.2,24,3,3,1,1.333333333,5.666666667,1,0
A.J.  Wassermann,5,118,42,2.80952381,7.866666667,3,5,2,1,116,13,5,5,4.085714286,97,4,1.1,9.848857802,4,3,3.98796926,1,90.6779661,7.627118644,-2.542372881,0,2,0.6,1.685714286,0.071428571,1.875,10.86278049,10.77032961,0.037037037,2,4,5,5,1.8,2,3.922413793,3.923728814,5,38.66666667,10.77032961,23.6,6.244997998,107,3.872983346,2.323790008,5,3,2.761298501,1.6,108.5,3.5,1368.8,64.2,3,1,1,1.8,4.571428571,1.4,1
James  G Arthur,5,372,63,5.904761905,24.8,3,5,2,1,368,11,4,5,4.33968254,352,5,3.63,18.76166304,5,4,4.930958914,1,96.50537634,2.419354839,-0.537634409,-1,2,0.6,3.542857143,0.047619048,2.142857143,19.28730152,19.18332609,0.038461538,3,4,5,5,3,3,3.975543478,3.975806452,5,122.6666667,19.18332609,74.4,5.744562647,359,3.872983346,3,5,3,8.465409754,1.4,370,4.333333333,6844.8,215.4,3,1,1,3,4.285714286,2,1
W. Timothy Gowers,5,338,6,56.33333333,22.53333333,4,5,4,3,338,80.5,5,5,4.514285714,234,4,2.7,16.43167673,4,4,5.892215184,1.414213562,95.26627219,4.733727811,0,0,4,0.8,45.06666667,0.666666667,4,18.38477631,17.43559577,0.129032258,4,5,5,5,4,4,4.952662722,4.952662722,5,84.5,18.38477631,67.6,17.94435844,322,4.472135955,4,5,4,11.63257382,1,338,5,0.2,257.6,4,3,2,4,7.666666667,1,1
M Weissgold,6,0,7,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,2.5,0,0,2.5,0,0,0,0,0,0,0,0,0,0,2.5,0,2.5,0,0,0,0,0,0,1,1,0
O Vacaru,6,98,52,1.884615385,4.666666667,3,6,3,2,96,27,6,6,4.085714286,75,4,0.71,8.426149773,3,3,4.102365416,1.732050808,88.7755102,9.183673469,-6.12244898,0,3,0.5,0.942307692,0.057692308,0.9,9.899494937,7.778174593,0.049180328,1.5,4,6,6,1,1.5,3.90625,3.908163265,6,32,9.797958971,16.33333333,9,87,4.242640687,1.732050808,5,3,10.58888889,3.333333333,33,1.95,784,43.5,3,3,2,1,7.285714286,1.083333333,0
MA Ghosh,6,69,83,0.831325301,3.285714286,3,6,2,1,60,30,4,5,4.341702742,41,6,0.6,6.403124237,5,4,3.534695742,1,78.26086957,13.04347826,-4.347826087,-1.05,2,0.5,0.415662651,0.036144578,0.947368421,8.306623863,7.937253933,0.032258065,1.566666667,4,6,6,0.818181818,1.566666667,3.857142857,3.869565217,6,20,7.745966692,11.5,9.486832981,51,4.242640687,1.566698904,3,3,3.851894855,3.166666667,18.5,3.566666667,120.75,30.6,3,2,1,0.818181818,4,4,0
NZ Misic,6,31,10,3.1,1.476190476,4,5,2,1,23,5,4,4,4.775468975,16,6,0.19,4.358898944,6,4,3.158753768,2,35.48387097,51.61290323,-6.451612903,-1,1,0.666666667,2.066666667,0.4,3.428571429,5.567764363,4.74341649,0.210526316,3.5,4,6,6,3.2,3.5,3.608695652,3.709677419,6,5.75,4.795831523,5.166666667,4.472135955,7,4.472135955,3.577708764,5,4,2.746288799,1.166666667,28.5,5.5,34.875,7,3,2,1,3.2,5.222222222,1.666666667,0
B.J.  Totaro,6,3,17,0.176470588,0.142857143,1,1,1,0,3,3,6,1,2,3,1,0.03,1.732050808,0,1,1.316074013,1,66.66666667,33.33333333,-133.3333333,0,0,0.166666667,0.029411765,0.058823529,0.375,1.732050808,1.732050808,0.025,1,2,2,6,1,1,1.666666667,1.666666667,2.866666667,3,1.732050808,0.5,1.732050808,2,1,1,1,1,0.088235294,2.666666667,3,3.866666667,0.166666667,2,1,0,0,1,3,1,1
D.G.  Vassiliev,6,84,10,8.4,4,3,6,2,1,77,38.5,4,5,4.107936508,69,5,0.77,8.306623863,3,3,3.587074267,1,84.52380952,10.71428571,-4.761904762,-1,1,0.5,4.2,0.3,2.25,9.16515139,8.94427191,0.075,2.5,4,6,6,2.25,2.5,3.8875,3.892857143,6,25.66666667,8.774964387,14,10.74709263,68,4.242640687,2.598076211,6,3,2.76344086,1.333333333,49.5,5,280,40.8,3,1,1,2.25,4.142857143,2,1
UN Kandale,7,11,2,5.5,0.392857143,2,2,1,0,6,3,2,2,3.744877345,6,6,0.06,2.449489743,0,3,1.861209718,1.414213562,18.18181818,36.36363636,-45.45454545,-1.333333333,0,0.285714286,1.571428571,1,1,3.31662479,2.449489743,0.2,1.5,2,3,7,1,1.5,1.666666667,1.909090909,7,3,2.449489743,1.571428571,2.449489743,2,2,1.414213562,1,1,1.205555556,2,5.5,3.5,1.885714286,2,1,1,0,1,3.2,2,0
R Liparteliani,7,2,42,0.047619048,0.071428571,1,1,1,0,2,2,7,1,2,2,1,0.02,1.414213562,0,1,1.189207115,1,50,50,-250,0,0,0.142857143,0.006802721,0.023809524,0.4375,1.414213562,1.414213562,0.020408163,0.5,2,2,7,0.5,0.5,1.5,1.5,1.833333333,2,1.414213562,0.285714286,1.414213562,1,1,0.707106781,1,1,0.142857143,2.285714286,1,3.916666667,0.142857143,1,1,0,0,0.5,2.666666667,1,0
IS Rakhimov,7,12,27,0.444444444,0.428571429,2,3,1,0,8,8,2,2,3.00952381,8,4,0.1,2.828427125,1,2,2.059767144,1,50,33.33333333,-58.33333333,-0.555555556,0,0.285714286,0.126984127,0.074074074,1.166666667,3.464101615,3.16227766,0.033898305,2,3,4,7,2,2,2.6,2.666666667,7,4,2.828427125,1.714285714,4,4,2.449489743,2,3,2,0.319623983,1.714285714,10.83333333,4.833333333,8.571428571,4,2,0,0,2,3.2,1.5,0
TF Fields,7,13,31,0.419354839,0.464285714,2,3,1,1,11,11,7,2,2.666666667,11,2,0.13,3.31662479,1,2,2.175049046,1,69.23076923,30.76923077,-61.53846154,0,1,0.285714286,0.119815668,0.064516129,0.933333333,3.605551275,3.605551275,0.040816327,1.25,3,4,7,0.8,1.25,2.692307692,2.692307692,7,5.5,3.31662479,1.857142857,4.69041576,7,2.449489743,1.264911064,2,2,0.425396825,2.142857143,4.75,4.5,0.142857143,7,2,1,0,0.8,3.4,1,0
S H?sken,8,95,21,4.523809524,2.638888889,3,8,3,2,90,26,4,6,4.398845599,55,6,0.81,7.416198487,3,3,3.938936151,1,85.26315789,9.473684211,-9.473684211,-1,2,0.375,1.696428571,0.142857143,0.96,9.746794345,7.03562364,0.09375,1.783333333,4,8,8,0.818181818,1.783333333,3.9,3.905263158,8,30,9.486832981,11.875,8.831760866,81,4.898979486,1.566698904,5,3,7.598601399,3.125,28.81666667,4.783333333,213.75,40.5,3,2,2,0.818181818,5,1.25,0
M VANDERPUT,9,0,22,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,1.888888889,0,5,0,0,0,0,0,0,1,1,0
MF Neff,9,62,29,2.137931034,1.377777778,4,7,2,1,60,8.5,9,5,4.736507937,38,5,0.55,6.164414003,3,4,3.769417853,1,70.96774194,25.80645161,-25.80645161,0,2,0.444444444,0.950191571,0.137931034,1.894736842,7.874007874,7.245688373,0.059701493,2.833333333,4,8,9,2.285714286,2.833333333,3.836363636,3.85483871,9,15,7.745966692,6.888888889,5.830951895,44,5.291502622,3.023715784,7,3,1.450875917,2.111111111,51.83333333,5,206.6666667,35.2,3,1,1,2.285714286,5.333333333,1.5,0
U Kraehmer,9,77,20,3.85,1.711111111,4,8,3,2,71,19.5,5,6,5.106360306,50,7,0.66,7.211102551,3,4,4.021675992,1.414213562,71.42857143,20.77922078,-16.88311688,-1,3,0.444444444,1.711111111,0.2,2.117647059,8.774964387,8.426149773,0.181818182,2.833333333,4,9,9,2,2.833333333,3.863636364,3.883116883,9,17.75,8.426149773,8.555555556,8.831760866,55,5.656854249,2.828427125,7,3,6.247908138,1.888888889,51.16666667,5.333333333,101.2407407,36.66666667,3,3,1,2,5.222222222,2,0
Efim Zelmanov,9,1018,4,254.5,22.62222222,7,9,5,5,1018,119,9,9,6.432700633,524,7,7.52,27.4226184,7,7,8.766454687,1.414213562,95.18664047,4.813359528,-0.68762279,0,7,0.777777778,197.9444444,1.75,3.705882353,31.90611227,24.67792536,0.212121212,5.5,8,9,9,4.9,5.5,7.951866405,7.951866405,9,145.4285714,31.90611227,113.1111111,28.86173938,969,7.937253933,5.856620186,9,7,32.26825471,1.888888889,876,6.083333333,0.111111111,753.6666667,7,5,3,4.9,8.8,1,1
Jeong Han Kim,9,280,8,35,6.222222222,5,9,3,2,275,13,6,8,5.621511822,190,7,2.57,15.62049935,6,5,5.54079826,1,89.28571429,8.928571429,-5,-0.989051095,4,0.555555556,19.44444444,0.625,3.214285714,16.73320053,16.21727474,0.147058824,4.5,5,9,9,4.166666667,4.5,4.940298507,4.942857143,9,55,16.58312395,31.11111111,8.062257748,250,6.708203932,4.564354646,9,4,9.618150982,1.555555556,274,6.5,1711.111111,156.25,4,2,2,4.166666667,6.272727273,2,1
Lawrence  Guth,9,209,39,5.358974359,4.644444444,4,9,2,2,205,26,5,7,4.918326118,147,6,1.99,12.12435565,3,4,4.879104951,1,90.43062201,7.655502392,-6.698564593,-0.985221675,2,0.444444444,2.381766382,0.102564103,1.636363636,14.45683229,13.37908816,0.095238095,2.25,4,9,9,1.777777778,2.25,3.954773869,3.956937799,9,51.25,14.31782106,23.22222222,10.19803903,189,6,2.666666667,9,3,7.953553391,2.444444444,96.66666667,5.116666667,1190.138889,108,3,2,2,1.777777778,5.444444444,1.4,1
