Author Name,Total Publication,Total Citation,Total Years,Cite/Year,Cite/Paper,h index,g index,h(2) index,w index,h core citation,m index,f index,t index,tappered_h_index,Maxprod,wu index,pi index,weighted h index,woginger_index,Gh_index,Rm index,X index,h2upper_index,h2 center_index,h2 lower_index,k dash index,i10 index,normalized_h_index,platinium_h_index,m_qoutient_index,HI_index,AW_index,Ar index,V index,hm_index,hf index,gf index,gF index,hi index,h_m_index,k norm index,w norm index,gm index,A index,R index,P index,q2 index,e index,hg_index,pure h index,fractional g index,fractional h index,AWCR,Author/paper,cites/author,paper/author,k index,h dash index,hl norm,hc index,ha index,hi index s,Rational h index,Real h index,Class
Y Michotte,554,11029,39,282.7948718,0.071740332,59,94,11,12,7207,83.5,77,82,53.34882729,3710,154,46.45,70.75309181,1,59,24.82289546,8.366600265,34.31861456,31.56224499,-230.6736785,-2.941589441,179,0.106498195,30.11714339,1.512820513,14.11312608,105.0190459,51.45652349,1.113207547,27.78333333,24,95,554,13.03745318,27.78333333,23.8861141,23.95203554,554,122.1525424,84.89405162,19.90794224,70.18903048,3726,74.47147105,27.73463066,35,22,548.7840912,4.180505415,2555.35,142.4785714,38.44036894,2680.902439,23,21,8,13.03745318,60.00840336,30,0
D Schlatter,557,33939,177,191.7457627,0.218393467,100,169,17,21,23128,152.5,133,143,88.2955234,11152,268,121.39,127.2084903,5,102,37.48606883,11.66190379,38.68116326,29.46462771,-102.7991396,-2.688411049,316,0.179533214,34.42473298,0.564971751,20.24718284,184.2254054,80.921871,0.518134715,38.3452381,33,170,557,16.66666667,38.3452381,32.92639448,32.96982822,557,231.28,152.0789269,60.93177738,123.4908904,13128,130,40.82482905,55,40,1324.242074,4.938958707,5881.116667,167.8261905,130.3515075,9180.41958,32,28,14,16.66666667,101.0099502,34.33333333,0
B Fiedler,562,6578,154,42.71428571,0.04157949,41,71,11,12,4190,72,56,61,39.40655653,1800,113,32.92,54.89990893,0,43,19.88731956,7.071067812,38.14229249,25.5548799,-288.4311341,-3.264243082,127,0.072953737,3.116166751,0.266233766,17.49582384,81.10487038,38.89730068,0.229050279,27.6,30,72,562,14.74561404,27.6,29.76939951,29.87214959,562,102.195122,64.73020933,11.70462633,54.33231083,2509,53.95368384,24.58800877,44,40,209.406912,2.34341637,3187.566667,335.8666667,20.53701187,1686.377049,29,14,5,14.74561404,42.01204819,21.5,0
T BASAR,563,21329,71,300.4084507,0.134342365,63,140,13,17,16788,126,87,96,56.34915539,7561,160,127.98,107.01869,2,63,28.56200719,1,60.10127057,18.60846734,-126.3912982,-1.68705825,196,0.111900533,33.61586571,0.887323944,28.69660194,146.0445138,68.46250277,0.692307692,45.66666667,47,141,563,25.77272727,45.66666667,46.86346625,46.90079235,563,266.4761905,129.5685147,37.88454707,89.09545443,12819,93.91485505,40.29493539,96,61,813.6771725,2.195381883,10866.1381,324.347619,140.0585281,8412.46875,46,21,9,25.77272727,64.01574803,21.66666667,0
S Doniach,569,32530,80,406.625,0.200598156,91,175,17,26,26204,183,125,139,73.01612292,9234,196,152.98,135.7276685,8,92,37.43292745,7.549834435,55.37657547,25.45650169,-114.5496465,-1.586075133,240,0.159929701,65.03141476,1.1375,33.21295702,180.3607496,98.67433207,0.978494624,47.04285714,48,176,569,23.19607843,47.04285714,47.89241184,47.93209345,569,287.956044,161.8764961,57.17047452,129.0465032,17923,126.1942946,45.94391295,108,64,1342.188862,2.739894552,14105.22619,293.2642857,241.1062754,11733.76259,47,35,14,23.19607843,92,92,0
I Schmitt,572,15575,252,61.80555556,0.095040213,49,121,13,15,12814,111,70,81,44.94602924,4000,120,108.05,95.34149149,4,50,25.50899811,1.414213562,66.85714286,15.41573034,-146.812199,-1.485151455,135,0.085664336,5.294531857,0.194444444,17.22679779,124.7998397,65.20097136,0.182835821,23.64761905,25,122,572,10.91363636,23.64761905,24.94723342,24.96301766,572,261.5102041,113.1989399,27.22902098,73.74957627,10413,77,23.12505528,53,27,675.9802313,2.844405594,3852.645238,296.397619,126.3718489,6299.222222,24,21,9,10.91363636,50.01010101,25.5,0
XM Zeng,591,7037,44,159.9318182,0.04022614,39,68,10,10,3688,76,54,59,41.7476677,1800,123,30.29,52.52618395,0,39,19.09442836,7.745966692,31.34858605,21.61432429,-258.8745204,-14.16703297,158,0.065989848,10.55387633,0.886363636,9.95637149,83.88682853,43.03052626,0.886363636,21.42142857,20,69,591,9,21.42142857,19.86554935,19.94869973,591,94.56410256,60.7289058,11.90693739,54.44263036,2167,51.49757276,18.734994,29,18,921.9723133,3.917089679,1972.603571,195.5738095,13.40699567,1432.423729,19,25,12,9,40.01265823,20,0
U Westphal,595,8075,246,32.82520325,0.045541707,45,72,10,10,4238,80,60,64,46.85497939,2492,140,30.29,56.35601121,0,47,20.44919457,9.433981132,27.40557276,25.07739938,-258.9845201,-16.77130045,177,0.075630252,2.482578397,0.182926829,21.80374593,89.86100378,53.93282859,0.172413793,33.86666667,30,73,595,17.45689655,33.86666667,29.75103612,29.89585139,595,94.17777778,65.0999232,13.57142857,60,2213,56.92099788,28.02784945,46,40,194.4860578,2.063865546,4142.771429,370.6928571,14.98976135,1556.015625,29,10,4,17.45689655,46.01098901,23.5,0
M Cossi,595,88067,72,1223.152778,0.496683774,64,295,19,24,83018,178.5,92,116,56.50922178,36084,160,778.19,270.5069315,13,64,39.02803417,1.414213562,89.61586065,4.651004349,-32.85453121,-1.12097601,220,0.107563025,131.5660131,0.888888889,10.50482759,296.7608465,112.028589,0.719101124,27.44047619,41,296,595,17.57939914,27.44047619,40.98017839,40.98183201,595,1297.15625,288.1284436,148.0117647,106.8831137,78922,137.4045123,33.54223524,161,52,3724.291039,6.092436975,26434.25476,118.1142857,2433.678091,43543.17241,40,31,17,17.57939914,65.05426357,8.875,0
J Pach,598,12780,67,190.7462687,0.071356386,52,105,13,15,9273,106,70,79,47.92158929,2880,139,73.05,82.60145277,2,52,24.76673595,5.656854249,51.80751174,21.15805947,-195.1173709,-2.057422733,163,0.086956522,16.58663206,0.776119403,17.90213011,113.0486621,60.04492366,0.584269663,32.01666667,33,106,598,17.44516129,32.01666667,32.87343962,32.9198748,598,178.3269231,96.29641738,21.37123746,74.24284477,6569,73.89181281,30.11890415,57,52,443.1035855,2.904682274,4665.440476,278.1952381,57.68069155,4323.898734,32,18,7,17.44516129,53.00952381,26.5,0
